trade_date,buy_sell,cash,cumu_r,equity,nav,num_long,position
2018-03-12,"B1-1,B1-0,B1-0,B1-1",342095.4,-0.009139841,33440.81,375536.22,37,0.089
2018-03-13,,342095.4,-0.0102617415,33015.52,375110.9,37,0.088
2018-03-14,,342095.4,-0.010910818,32769.34,374864.75,37,0.0874
2018-03-15,,342095.4,-0.01091715,32767.63,374863.03,37,0.0874
2018-03-16,,342095.4,-0.0118398415,32417.29,374512.7,37,0.0866
2018-03-19,S3,343276.6,-0.0116532985,31306.83,374583.4,36,0.0836
2018-03-20,"S4,B2-0",343607.53,-0.010951979,31241.47,374849.0,36,0.0833
2018-03-21,B2-0,342632.28,-0.01193562,31844.0,374476.28,37,0.085
2018-03-22,S2,343709.4,-0.012790766,30443.32,374152.72,36,0.0814
2018-03-23,"S2,S2,S1",345901.7,-0.01602454,27024.77,372926.47,33,0.0725
2018-03-26,"S1,S2",347771.8,-0.014366754,25783.07,373554.88,31,0.069
2018-03-27,,347771.8,-0.01311372,26258.06,374029.88,31,0.0702
2018-03-28,,347771.8,-0.014416359,25764.36,373536.2,31,0.069
2018-03-29,,347771.8,-0.014036411,25908.32,373680.12,31,0.0693
2018-03-30,,347771.8,-0.012879156,26346.79,374118.6,31,0.0704
2018-04-02,"S2,B1-0,B2-1",347585.8,-0.012616887,26632.2,374218.0,32,0.0712
2018-04-03,,347585.8,-0.0129438,26508.13,374093.94,32,0.0709
2018-04-04,,347585.8,-0.012969921,26498.55,374084.34,32,0.0708
2018-04-09,,347585.8,-0.013139578,26434.1,374019.9,32,0.0707
2018-04-10,B1-1,347233.0,-0.011956993,27235.24,374468.25,33,0.0727
2018-04-11,B2-1,346245.66,-0.011015303,28579.56,374825.22,34,0.0762
2018-04-12,,346245.66,-0.010907916,28620.03,374865.7,34,0.0763
2018-04-13,,346245.66,-0.011446174,28416.01,374661.66,34,0.0758
2018-04-16,"B1-1,B2-0,B1-0",344510.84,-0.01100686,30317.48,374828.34,37,0.0809
2018-04-17,"S1,S2,S2",346521.84,-0.013228497,27464.371,373986.2,34,0.0734
2018-04-18,S2,347426.78,-0.011950396,27043.77,374470.56,33,0.0722
2018-04-19,"B1-1,B1-1",346689.7,-0.011948549,27781.81,374471.5,35,0.0742
2018-04-20,"S1,S2,S2,S3",349684.28,-0.013429024,24226.33,373910.6,32,0.0648
2018-04-23,"B3-0,S1,S2,S1,S2,S3",352676.66,-0.014279948,20911.31,373587.97,28,0.056
2018-04-24,"B2-0,B3-0",350351.38,-0.012784169,23803.39,374154.78,30,0.0636
2018-04-25,,350351.38,-0.012180475,24032.24,374383.62,30,0.0642
2018-04-26,,350351.38,-0.01297942,23729.459,374080.84,30,0.0634
2018-04-27,B1-1,349982.75,-0.0127377305,24189.78,374172.53,31,0.0646
2018-05-02,B1-1,349586.56,-0.012147494,24809.4,374395.97,32,0.0663
2018-05-03,S1,349915.84,-0.011105277,24875.31,374791.16,31,0.0664
2018-05-04,,349915.84,-0.011023747,24906.36,374822.22,31,0.0664
2018-05-07,"B1-0,B1-0,B1-1,B1-0,B2-0,B2-0",346322.2,-0.009521636,29069.24,375391.4,37,0.0774
2018-05-08,,346322.2,-0.009695779,29002.959,375325.12,37,0.0773
2018-05-09,"B1-1,B2-0",344956.97,-0.009716359,30360.72,375317.7,39,0.0809
2018-05-10,"B2-0,B1-0,B1-0,S5,B2-0",342620.66,-0.009745383,32685.87,375306.53,42,0.0871
2018-05-11,"B2-1,B1-1,B1-1,B1-1",340523.72,-0.010683905,34426.86,374950.56,46,0.0918
2018-05-14,B1-0,340174.28,-0.010086016,35003.2,375177.47,47,0.0933
2018-05-15,"B1-0,B2-0,B1-0",338528.97,-0.008834037,37123.29,375652.25,50,0.0988
2018-05-16,"B1-0,B2-1,S1,B1-1,B1-0,B1-0",337088.8,-0.008863061,38551.77,375640.6,54,0.1026
2018-05-17,B1-0,336714.4,-0.009323219,38752.07,375466.5,55,0.1032
2018-05-18,"B1-1,S4,B1-0",336497.28,-0.008366754,39331.73,375829.03,56,0.1047
2018-05-21,"B1-0,B1-0,B1-0,B1-0,B1-0,B1-0,B2-0,B2-1",332649.34,-0.007007652,43694.918,376344.28,63,0.1161
2018-05-22,"B1-1,B3-0,B1-0,B1-0,B2-0,B1-0",328865.12,-0.0057031666,47973.48,376838.6,69,0.1273
2018-05-23,"B1-0,B1-0,B1-0,B1-0",327286.7,-0.0073622693,48922.87,376209.56,73,0.13
2018-05-24,"B2-0,S2",326639.03,-0.007861477,49381.84,376020.88,73,0.1313
2018-05-25,"B1-0,S3,S4,S1",328468.34,-0.0097963065,46819.31,375287.62,71,0.1248
2018-05-28,"S1,S1",329225.25,-0.009791293,46064.05,375289.3,69,0.1227
2018-05-29,"S1,B2-0,S1,S4,S2,S2",331907.6,-0.012277045,42439.75,374347.34,66,0.1134
2018-05-30,"S1,S2,S2,S2,S2,S5,S2,S2,S1,S1,S2,S3,S2,S2,S2,S2,S1,S2,S2,S1,S2,S2",342951.66,-0.015251188,30267.89,373219.53,44,0.0811
2018-05-31,,342951.66,-0.01326438,31021.14,373972.78,44,0.083
2018-06-01,"S2,S2,S2",344555.22,-0.014986279,28765.39,373320.6,41,0.0771
2018-06-04,"B2-0,S1",343905.12,-0.015322955,29287.73,373192.84,41,0.0785
2018-06-05,"S2,B1-0",344417.5,-0.01358285,29434.709,373852.22,41,0.0787
2018-06-06,,344417.5,-0.013491029,29469.45,373886.97,41,0.0788
2018-06-07,"B1-0,B2-1,S5",344608.62,-0.013842217,29145.5,373754.12,42,0.078
2018-06-08,"S2,B2-0,S3,B2-0,S2,S1,B1-0",344402.62,-0.014079683,29261.48,373664.1,41,0.0783
2018-06-11,"S1,S3",345431.0,-0.014565435,28048.55,373479.53,39,0.0751
2018-06-12,,345431.0,-0.013865699,28313.75,373744.75,39,0.0758
2018-06-13,"S2,S1",346608.94,-0.014683905,26826.1,373435.03,37,0.0718
2018-06-14,,346608.94,-0.015519525,26509.37,373118.3,37,0.071
2018-06-15,"S2,S2,S2,S1,S2",348868.2,-0.017054617,23668.25,372536.44,32,0.0635
2018-06-19,"S2,S2,S2,S2,S3,S2,S2,S2,S2,S2,S2,S2,S3,S2,S2",357988.84,-0.020785488,13133.9,371122.75,18,0.0354
2018-06-20,"S2,B3-0",357958.47,-0.020575726,13243.64,371202.12,18,0.0357
2018-06-21,"B3-1,S2",357565.25,-0.02109657,13439.47,371004.72,18,0.0362
2018-06-22,"S2,S2,S2",358628.44,-0.02050554,12600.49,371228.94,15,0.0339
2018-06-25,,358628.44,-0.020736676,12512.7,371141.12,15,0.0337
2018-06-26,,358628.44,-0.020887336,12455.53,371083.97,15,0.0336
2018-06-27,,358628.44,-0.021689447,12151.55,370780.0,15,0.0328
2018-06-28,"S3,S2",360523.2,-0.021869129,10188.8,370712.0,13,0.0275
2018-06-29,S2,361688.0,-0.021076517,9324.46,371012.47,12,0.0251
2018-07-02,"S2,B2-0,B2-0",360116.84,-0.021158839,10864.38,370981.22,13,0.0293
2018-07-03,S1,361057.25,-0.02102797,9973.44,371030.7,13,0.0269
2018-07-04,,361057.25,-0.021501847,9793.92,370851.16,13,0.0264
2018-07-05,S2,361569.62,-0.022036148,9079.05,370648.7,12,0.0245
2018-07-06,"S2,B1-0",361499.25,-0.021992348,9165.85,370665.1,12,0.0247
2018-07-09,,361499.25,-0.020650659,9674.25,371173.5,12,0.0261
2018-07-10,"B1-0,B2-1",360162.66,-0.020228233,11171.14,371333.8,14,0.0301
2018-07-11,B2-0,359037.66,-0.020160422,12321.859,371359.53,15,0.0332
2018-07-12,"B1-0,B2-0",357744.8,-0.019343799,13924.24,371669.06,17,0.0375
2018-07-13,B2-0,356851.6,-0.018700527,15061.08,371912.7,18,0.0405
