stock_code,trade_date,stock_code,equity,cash,cumu_r,nav,volume,buy_sell,operation_price,operation_volume,is_long
600518.SH,2019-02-11,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-02-12,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-02-13,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-02-14,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-02-15,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-02-18,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-02-19,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-02-20,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-02-21,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-02-22,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-02-25,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-02-26,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-02-27,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-02-28,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-03-01,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-03-04,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-03-05,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-03-06,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-03-07,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-03-08,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-03-11,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-03-12,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-03-13,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-03-14,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-03-15,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-03-18,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-03-19,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-03-20,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-03-21,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-03-22,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-03-25,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-03-26,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-03-27,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-03-28,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
